Name,Email,Financial Status,Paid at,Fulfillment Status,Fulfilled at,Accepts Marketing,Currency,Subtotal,Shipping,Taxes,Total,Discount Code,Discount Amount,Shipping Method,Created at,Lineitem quantity,Lineitem name,Lineitem price,Lineitem compare at price,Lineitem sku,Lineitem requires shipping,Lineitem taxable,Lineitem fulfillment status,Billing Name,Billing Street,Billing Address1,Billing Address2,Billing Company,Billing City,Billing Zip,Billing Province,Billing Country,Billing Phone,Shipping Name,Shipping Street,Shipping Address1,Shipping Address2,Shipping Company,Shipping City,Shipping Zip,Shipping Province,Shipping Country,Shipping Phone,Notes,Note Attributes,Cancelled at,Payment Method,Payment Reference,Refunded Amount,Vendor,Id,Tags,Risk Level,Source,Lineitem discount,Tax 1 Name,Tax 1 Value,Tax 2 Name,Tax 2 Value,Tax 3 Name,Tax 3 Value,Tax 4 Name,Tax 4 Value,Tax 5 Name,Tax 5 Value,Phone,Receipt Number,Duties,Billing Province Name,Shipping Province Name,Payment ID,Payment Terms Name,Next Payment Due At,Payment References
#1123,hans.gruber@germany.com,paid,2023-02-03 12:40:37 -0500,unfulfilled,,no,USD,100.00,80.68,0.00,180.68,"",0.00,fake rule Duties & Taxes Included,2023-02-03 12:40:36 -0500,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Hans Gruber,Am Hafen West 7,Am Hafen West 7,,,Wittmund,'26409,,DE,,Hans Gruber,Am Hafen West 7,Am Hafen West 7,,,Wittmund,'26409,,DE,,"$46.00 shipping, $NaN taxes, $NaN duties","Duty: $0.00
Tax: $27.74
Carrier Fees: $6.94
Shipping: $46.00",,(for testing) Bogus Gateway,r28pVffhF6V3y62unnXjL8rm1,0.00,Jaxons Soda shop,5261929840948,"",Low,web,0.00,,,,,,,,,,,,,,,,r28pVffhF6V3y62unnXjL8rm1,,,r28pVffhF6V3y62unnXjL8rm1
#1122,liam.maple@canada.com,paid,2023-02-02 18:49:39 -0500,unfulfilled,,no,USD,200.00,70.42,0.00,270.42,"",0.00,UPS Priority Mail ORIGINAL Duties & Taxes Included,2023-02-02 18:49:38 -0500,4,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Liam Maple,12 Horseshoe Crescent,12 Horseshoe Crescent,,,Waterdown,L0R 2H0,ON,CA,,Liam Maple,12 Horseshoe Crescent,12 Horseshoe Crescent,,,Waterdown,L0R 2H0,ON,CA,,"$37.60 shipping, $NaN taxes, $NaN duties","Duty: $0.00
Tax: $26.00
Carrier Fees: $6.82
Shipping: $37.60",,(for testing) Bogus Gateway,r2pNnPPIhZ5GWDAZsdgIZOiA5,0.00,Jaxons Soda shop,5261592232244,"",Low,web,0.00,,,,,,,,,,,,,,Ontario,Ontario,r2pNnPPIhZ5GWDAZsdgIZOiA5,,,r2pNnPPIhZ5GWDAZsdgIZOiA5
#1121,liam.maple@canada.com,paid,2023-02-02 12:19:30 -0500,unfulfilled,,no,USD,150.00,57.97,0.00,207.97,"",0.00,UPS Priority Mail ORIGINAL Duties & Taxes Included,2023-02-02 12:19:29 -0500,3,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Liam Maple,4 Horseshoe Crescent,4 Horseshoe Crescent,,,Waterdown,L0R 2H0,ON,CA,,Liam Maple,4 Horseshoe Crescent,4 Horseshoe Crescent,,,Waterdown,L0R 2H0,ON,CA,,"$32.10 shipping, $NaN taxes, $NaN duties","Duty: $0.00
Tax: $19.50
Carrier Fees: $6.37
Shipping: $32.10",,(for testing) Bogus Gateway,r0Tc9ZNXbG4wPv4kig19ZrDV4,0.00,Jaxons Soda shop,5261424460084,"",Low,web,0.00,,,,,,,,,,,,,,Ontario,Ontario,r0Tc9ZNXbG4wPv4kig19ZrDV4,,,r0Tc9ZNXbG4wPv4kig19ZrDV4
#1120,liam.maple@canada.com,paid,2023-02-02 12:15:50 -0500,unfulfilled,,no,USD,100.00,46.51,0.00,146.51,"",0.00,UPS Priority Mail ORIGINAL Duties & Taxes Included,2023-02-02 12:15:49 -0500,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Liam Maple,4 Horseshoe Crescent,4 Horseshoe Crescent,,,Waterdown,L0R 2H0,ON,CA,,Liam Maple,4 Horseshoe Crescent,4 Horseshoe Crescent,,,Waterdown,L0R 2H0,ON,CA,,"$27.60 shipping, $NaN taxes, $NaN duties","Duty: $0.00
Tax: $13.00
Carrier Fees: $5.91
Shipping: $27.60",,(for testing) Bogus Gateway,r5V9rpX2EGvGTkSWMGXbAmnYf,0.00,Jaxons Soda shop,5261423280436,"",Low,web,0.00,,,,,,,,,,,,,,Ontario,Ontario,r5V9rpX2EGvGTkSWMGXbAmnYf,,,r5V9rpX2EGvGTkSWMGXbAmnYf
#1119,liam.maple@canada.com,paid,2023-02-02 11:57:08 -0500,unfulfilled,,no,USD,100.00,46.51,0.00,146.51,"",0.00,UPS Priority Mail ORIGINAL Duties & Taxes Included,2023-02-02 11:57:07 -0500,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Liam Maple,123 Tubman Avenue,123 Tubman Avenue,,,Toronto,M5A 0M8,ON,CA,,Liam Maple,123 Tubman Avenue,123 Tubman Avenue,,,Toronto,M5A 0M8,ON,CA,,"$27.60 shipping, $NaN taxes, $NaN duties","Duty: $0.00
Tax: $13.00
Carrier Fees: $5.91
Shipping: $27.60",,(for testing) Bogus Gateway,r89NfLKkzPEwIeLzwqVaZC3e3,0.00,Jaxons Soda shop,5261412696372,"",Low,web,0.00,,,,,,,,,,,,,,Ontario,Ontario,r89NfLKkzPEwIeLzwqVaZC3e3,,,r89NfLKkzPEwIeLzwqVaZC3e3
#1118,jaxon@zonos.com,paid,2023-01-30 18:30:51 -0500,unfulfilled,,no,USD,750.00,339.12,0.00,1089.12,"",0.00,fake rule Duties & Taxes Included,2023-01-30 18:30:50 -0500,15,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon P,Test Address,Test Address,,,Vancouver,V6R 1V6,BC,CA,,Jaxon P,Test Address,Test Address,,,Vancouver,V6R 1V6,BC,CA,,"$219.52 shipping, $119.60 duty and tax","Duty: $0.00
Tax: $90.00
Carrier Fees: $29.60
Shipping: $219.52
Carton: 8x4x2 in (15 items)",,(for testing) Bogus Gateway,rdwE3tOrJ2sDDiuNBcEJ030TB,0.00,Jaxons Soda shop,5260027920692,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,rdwE3tOrJ2sDDiuNBcEJ030TB,,,rdwE3tOrJ2sDDiuNBcEJ030TB
#1117,jaxon@zonos.com,paid,2023-01-30 17:47:41 -0500,unfulfilled,,no,USD,180.00,425.03,0.00,605.03,coke,20.00,fake rule Duties & Taxes Included,2023-01-30 17:47:41 -0500,4,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,,"",,(for testing) Bogus Gateway,rhQUp33m4hCQ4iOX9UZuM8w2M,0.00,Jaxons Soda shop,5260013601076,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rhQUp33m4hCQ4iOX9UZuM8w2M,,,rhQUp33m4hCQ4iOX9UZuM8w2M
#1116,jaxon@zonos.com,paid,2023-01-30 17:00:18 -0500,unfulfilled,,no,USD,90.00,342.34,0.00,90.00,"coke, ship",352.34,fake rule Duties & Taxes Included,2023-01-30 17:00:18 -0500,2,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,"$219.52 shipping, $120.20 duty and tax","Duty: $0.00
Tax: $75.21
Carrier Fees: $44.99
Shipping: $219.52
Carton: 8x4x2 in (2 items)",,(for testing) Bogus Gateway,rUaj1ATKYhSILrM6DzGMB4Jx5,0.00,Jaxons Soda shop,5259997348148,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rUaj1ATKYhSILrM6DzGMB4Jx5,,,rUaj1ATKYhSILrM6DzGMB4Jx5
#1115,jaxon@zonos.com,paid,2023-01-30 13:57:08 -0500,unfulfilled,,no,USD,270.00,277.56,0.00,270.00,"coke, ship",307.56,fake rule Duties & Taxes Included,2023-01-30 13:57:07 -0500,6,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon Porter,2162 Tolmie Street,2162 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,Jaxon Porter,2162 Tolmie Street,2162 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,"$219.52 shipping, $53.94 duty and tax","Duty: $0.00
Tax: $32.40
Carrier Fees: $21.54
Shipping: $219.52
Carton: 8x4x2 in (6 items)",,(for testing) Bogus Gateway,r3HZave3g2zbcUHE6ASNPzrY1,0.00,Jaxons Soda shop,5259922211124,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,r3HZave3g2zbcUHE6ASNPzrY1,,,r3HZave3g2zbcUHE6ASNPzrY1
#1114,jaxon@zonos.com,paid,2023-01-30 13:55:10 -0500,unfulfilled,,no,USD,225.00,270.72,0.00,225.00,"coke, ship",295.72,fake rule Duties & Taxes Included,2023-01-30 13:55:09 -0500,5,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon Porter,9652 Tolmie Street,9652 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,Jaxon Porter,9652 Tolmie Street,9652 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,,"",,(for testing) Bogus Gateway,rlIeM6zZ394u3A7Ejl12y2JkV,0.00,Jaxons Soda shop,5259921326388,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,rlIeM6zZ394u3A7Ejl12y2JkV,,,rlIeM6zZ394u3A7Ejl12y2JkV
#1113,jaxon@zonos.com,partially_refunded,2023-01-30 13:52:34 -0500,unfulfilled,,no,USD,315.00,284.40,0.00,599.40,coke,35.00,fake rule Duties & Taxes Included,2023-01-30 13:52:34 -0500,7,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon Porter,2162 Tolmie Street,2162 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,Jaxon Porter,2162 Tolmie Street,2162 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,"$219.52 shipping, $60.09 duty and tax","Duty: $0.00
Tax: $37.80
Carrier Fees: $22.29
Shipping: $219.52
Carton: 8x4x2 in (7 items)",,(for testing) Bogus Gateway,rLVAHSooB9IhQ1KeS4Hp8GUqM,4.79,Jaxons Soda shop,5259920113972,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,rLVAHSooB9IhQ1KeS4Hp8GUqM,,,rLVAHSooB9IhQ1KeS4Hp8GUqM + #1113.2
#1112,jaxon@zonos.com,paid,2023-01-30 13:48:10 -0500,unfulfilled,,no,USD,405.00,298.08,0.00,405.00,"coke, ship",343.08,fake rule Duties & Taxes Included,2023-01-30 13:48:09 -0500,9,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon Porter,2162 Tolmie Street,2162 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,Jaxon Porter,2162 Tolmie Street,2162 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,"$219.52 shipping, $72.40 duty and tax","Duty: $0.00
Tax: $48.60
Carrier Fees: $23.80
Shipping: $219.52
Carton: 8x4x2 in (9 items)",,(for testing) Bogus Gateway,rFB2AN7oQrZGePs4GrL7mpddC,0.00,Jaxons Soda shop,5259918147892,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,rFB2AN7oQrZGePs4GrL7mpddC,,,rFB2AN7oQrZGePs4GrL7mpddC
#1111,jaxon@zonos.com,paid,2023-01-30 13:45:02 -0500,unfulfilled,,no,USD,585.00,325.44,0.00,585.00,"coke, ship",390.44,fake rule Duties & Taxes Included,2023-01-30 13:45:02 -0500,13,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon Porter,21 Tolmie Street,21 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,Jaxon Porter,21 Tolmie Street,21 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,,"",,(for testing) Bogus Gateway,rfy7jUCVqvHJjHsTzv61kukau,0.00,Jaxons Soda shop,5259916280116,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,rfy7jUCVqvHJjHsTzv61kukau,,,rfy7jUCVqvHJjHsTzv61kukau
#1110,jaxon@zonos.com,paid,2023-01-30 13:43:18 -0500,unfulfilled,,no,USD,225.00,270.72,0.00,225.00,"coke, ship",295.72,fake rule Duties & Taxes Included,2023-01-30 13:43:17 -0500,5,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon Porter,2332 Tolmie Street,2332 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,Jaxon Porter,2332 Tolmie Street,2332 Tolmie Street,,,Vancouver,V6R 1V6,BC,CA,,,"",,(for testing) Bogus Gateway,rmABYYdBc97WnouAdQYdXUi2e,0.00,Jaxons Soda shop,5259915526452,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,rmABYYdBc97WnouAdQYdXUi2e,,,rmABYYdBc97WnouAdQYdXUi2e
#1109,jaxon@zonos.com,paid,2023-01-30 13:40:16 -0500,unfulfilled,,no,USD,315.00,284.40,0.00,315.00,"coke, ship",319.40,fake rule Duties & Taxes Included,2023-01-30 13:40:16 -0500,7,Case of Coca-Cola,50.00,,123412341234,true,true,pending,Jaxon P,Test Address,Test Address,,,Vancouver,V6R 1V6,BC,CA,,Jaxon P,Test Address,Test Address,,,Vancouver,V6R 1V6,BC,CA,,,"",,(for testing) Bogus Gateway,rrAPwN0jLr7UerrFJ4KDI7xj8,0.00,Jaxons Soda shop,5259914477876,"",Low,web,0.00,,,,,,,,,,,,,,British Columbia,British Columbia,rrAPwN0jLr7UerrFJ4KDI7xj8,,,rrAPwN0jLr7UerrFJ4KDI7xj8
#1108,jaxon@zonos.com,partially_refunded,2023-01-30 13:32:17 -0500,unfulfilled,,no,USD,150.00,444.87,0.00,594.87,bogo,100.00,fake rule Duties & Taxes Included,2023-01-30 13:32:17 -0500,1,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,"$219.52 shipping, $135.93 duty and tax","Duty: $0.00
Tax: $89.01
Carrier Fees: $46.92
Shipping: $219.52
Carton: 8x4x2 in (5 items)",,(for testing) Bogus Gateway,rfU9lVFVtRMjGpFWnRB2ylVED,89.42,Jaxons Soda shop,5259910840628,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rfU9lVFVtRMjGpFWnRB2ylVED,,,rfU9lVFVtRMjGpFWnRB2ylVED + #1108.2
#1108,jaxon@zonos.com,,,,,,,,,,,,,,2023-01-30 13:32:17 -0500,2,Case of Coca-Cola,50.00,"",123412341234,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaxons Soda shop,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1108,jaxon@zonos.com,,,,,,,,,,,,,,2023-01-30 13:32:17 -0500,2,Case of Coca-Cola,50.00,"",123412341234,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaxons Soda shop,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1107,jaxon@zonos.com,partially_refunded,2023-01-30 13:29:20 -0500,unfulfilled,,no,USD,150.00,444.87,0.00,594.87,bogo,100.00,fake rule Duties & Taxes Included,2023-01-30 13:29:19 -0500,1,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 100,Rua Portas Agua 100,,,Ourém,2490-518,PT-14,PT,,"$219.52 shipping, $135.93 duty and tax","Duty: $0.00
Tax: $89.01
Carrier Fees: $46.92
Shipping: $219.52
Carton: 8x4x2 in (5 items)",,(for testing) Bogus Gateway,rmROa4famJPx0mcQtiUMcGbDZ,89.42,Jaxons Soda shop,5259909300532,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,rmROa4famJPx0mcQtiUMcGbDZ,,,rmROa4famJPx0mcQtiUMcGbDZ + #1107.2
#1107,jaxon@zonos.com,,,,,,,,,,,,,,2023-01-30 13:29:19 -0500,2,Case of Coca-Cola,50.00,"",123412341234,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaxons Soda shop,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1107,jaxon@zonos.com,,,,,,,,,,,,,,2023-01-30 13:29:19 -0500,2,Case of Coca-Cola,50.00,"",123412341234,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaxons Soda shop,,,,,0.00,,,,,,,,,,,,,,,,,,,
#1106,jaxon@zonos.com,partially_refunded,2023-01-30 13:17:32 -0500,unfulfilled,,no,USD,200.00,504.40,0.00,704.40,bogo,200.00,fake rule Duties & Taxes Included,2023-01-30 13:17:32 -0500,4,Case of Coca-Cola,50.00,,123412341234,true,true,pending,J P,Rua Portas Agua 777,Rua Portas Agua 777,,,Ourém,2490-518,PT-14,PT,,J P,Rua Portas Agua 777,Rua Portas Agua 777,,,Ourém,2490-518,PT-14,PT,,"$219.52 shipping, $205.50 duty and tax","Duty: $40.27
Tax: $109.77
Carrier Fees: $55.46
Shipping: $219.52
Carton: 8x4x2 in (8 items)",,(for testing) Bogus Gateway,r7y91TJq1ShZZsTkcX5GLc3uG,79.38,Jaxons Soda shop,5259903828276,"",Low,web,0.00,,,,,,,,,,,,,,Santarém,Santarém,r7y91TJq1ShZZsTkcX5GLc3uG,,,r7y91TJq1ShZZsTkcX5GLc3uG + #1106.2
#1106,jaxon@zonos.com,,,,,,,,,,,,,,2023-01-30 13:17:32 -0500,4,Case of Coca-Cola,50.00,"",123412341234,true,true,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,Jaxons Soda shop,,,,,0.00,,,,,,,,,,,,,,,,,,,
